Wall time,Step,Value
1649781232.0647805,2714,0.06332026422023773
1649781313.2364037,2719,0.06121310964226723
1649781493.3583033,2725,0.06512773782014847
1649781587.186315,2730,0.05605348199605942
1649781679.920024,2735,0.06908617913722992
1649781772.5964155,2736,0.05758063122630119
1649781872.9312932,2741,0.06478268653154373
1649781966.6670263,2746,0.04956548288464546
1649782047.586473,2751,0.05476434901356697
1649782139.7495263,2752,0.06903630495071411
1649782227.2775393,2757,0.059490326792001724
1649782509.8980627,2768,0.06028860807418823
1649782687.0195,2778,0.061503347009420395
1649782865.8882475,2784,0.05693814158439636
1649783143.151059,2799,0.05587659403681755
1649783237.7195947,2800,0.06235663965344429
1649783333.2299922,2805,0.06525307893753052
1649783423.4935992,2810,0.07168389856815338
1649783517.6731455,2815,0.058923397213220596
1649783619.0963376,2816,0.05682337284088135
1649783705.965727,2821,0.05421198531985283
1649783796.2081387,2826,0.05358973145484924
1649783884.479948,2831,0.06678345054388046
1649783968.971675,2832,0.05292206630110741
1649784078.642811,2837,0.055171798914670944
1649784167.3974082,2842,0.061122503131628036
1649784528.70525,2858,0.05837026238441467
1649784618.7904477,2863,0.06011784449219704
1649784909.4833498,2874,0.06007670611143112
1649784996.6512117,2879,0.06082853302359581
1649785184.8133547,2885,0.058694027364254
1649785281.0876086,2890,0.06640981137752533
1649785371.0001483,2895,0.06647517532110214
1649785465.6215768,2896,0.05482160672545433
1649785556.6930428,2901,0.07136517763137817
1649785644.85161,2906,0.06652644276618958
1649785935.6038501,2917,0.06308067589998245
1649786029.1139019,2922,0.06102408096194267
1649786111.7780926,2927,0.06094842776656151
1649786484.95926,2943,0.05230013281106949
1649786580.812831,2944,0.04854288324713707
1649786766.5320623,2954,0.05916707590222359
1649786854.4569948,2959,0.059653155505657196
1649786948.725547,2960,0.04874107986688614
1649787046.7542658,2965,0.05509202927350998
1649787222.7872827,2975,0.05422712489962578
1649787501.7960181,2986,0.05934512987732887
1649787589.2275548,2991,0.0561552569270134
1649787785.4611573,2997,0.04896318539977074
1649787879.6155338,3002,0.06108326464891434
1649787964.4395537,3007,0.05927513912320137
1649788061.8284013,3008,0.07047069072723389
1649788153.5358706,3013,0.0645475909113884
1649788242.1176648,3018,0.04983090981841087
1649788438.842977,3024,0.06738590449094772
1649788708.1304533,3039,0.06273489445447922
1649788800.206834,3040,0.06123334914445877
1649788985.5909297,3050,0.06538381427526474
1649789166.4567208,3056,0.059161532670259476
1649789254.8355181,3061,0.06272990256547928
1649789344.9279912,3066,0.06733773648738861
1649789432.5903234,3071,0.058753807097673416
1649789639.9830823,3077,0.06609485298395157
1649789727.1581802,3082,0.053276751190423965
1649789811.6777623,3087,0.0621013417840004
